x0,x1,u0,u1
0.5,0.04228855721393035,0.14796182374562372,-0.0013416895833209532
0.5,0.04477611940298507,0.14787483298979498,-0.0014251834641972627
0.5,0.0472636815920398,0.14778307929465365,-0.0015094488390946753
0.5,0.04975124378109452,0.14768659663007447,-0.0015945252484678338
0.5,0.05223880597014925,0.1475854206185029,-0.0016804517095958958
0.5,0.05472636815920398,0.14747958850702292,-0.0017672666929859915
0.5,0.0572139303482587,0.1473691391382597,-0.0018550080993558872
0.5,0.05970149253731343,0.14725411292015206,-0.0019437132372182647
0.5,0.06218905472636816,0.14713455179463644,-0.002033418801088157
0.5,0.06467661691542288,0.1470104992052804,-0.0021241608503341078
0.5,0.06716417910447761,0.14688200006390786,-0.002215974788692659
0.5,0.06965174129353234,0.14674910071625882,-0.002308895344464816
