x0,x1,u
0.0,0.8,-0.5877852522924728
0.0,0.8250000000000001,-0.8090169943749472
0.0,0.8500000000000001,-0.951056516295154
0.0,0.875,-1.0
0.0,0.9,-0.9510565162951538
0.0,0.925,-0.8090169943749477
0.0,0.9500000000000001,-0.5877852522924735
0.0,0.9750000000000001,-0.3090169943749462
1.0,0.025,1.0776480532721515e-06
1.0,0.05,2.049808406674533e-06
1.0,0.07500000000000001,2.8213192313766505e-06
1.0,0.1,3.3166596724246614e-06
1.0,0.125,3.4873423562089973e-06
1.0,0.15000000000000002,3.3166596724246614e-06
1.0,0.17500000000000002,2.8213192313766505e-06
1.0,0.2,2.0498084066745335e-06
1.0,0.225,1.0776480532721519e-06
1.0,0.25,4.270762654062337e-22
1.0,0.275,-1.0776480532721527e-06
1.0,0.30000000000000004,-2.049808406674534e-06
1.0,0.325,-2.82131923137665e-06
1.0,0.35000000000000003,-3.3166596724246614e-06
1.0,0.375,-3.4873423562089973e-06
1.0,0.4,-3.316659672424662e-06
1.0,0.42500000000000004,-2.821319231376649e-06
1.0,0.45,-2.0498084066745335e-06
1.0,0.47500000000000003,-1.0776480532721523e-06
1.0,0.5,-8.541525308124675e-22
1.0,0.525,1.0776480532721508e-06
1.0,0.55,2.049808406674535e-06
1.0,0.5750000000000001,2.8213192313766514e-06
1.0,0.6000000000000001,3.3166596724246623e-06
1.0,0.625,3.4873423562089973e-06
1.0,0.65,3.316659672424662e-06
1.0,0.675,2.821319231376651e-06
1.0,0.7000000000000001,2.049808406674534e-06
1.0,0.7250000000000001,1.077648053272147e-06
1.0,0.75,1.2812287962187011e-21
1.0,0.775,-1.0776480532721504e-06
1.0,0.8,-2.049808406674532e-06
1.0,0.8250000000000001,-2.8213192313766497e-06
1.0,0.8500000000000001,-3.3166596724246627e-06
1.0,0.875,-3.4873423562089973e-06
1.0,0.9,-3.3166596724246623e-06
1.0,0.925,-2.821319231376651e-06
1.0,0.9500000000000001,-2.0498084066745343e-06
1.0,0.9750000000000001,-1.0776480532721472e-06
